zipcode,year,day,month,date,medianprice
90732,2000,31,1,2000-01-31,298205
90732,2000,29,2,2000-02-29,298281
90732,2000,31,3,2000-03-31,299285
90732,2000,30,4,2000-04-30,301420
90732,2000,31,5,2000-05-31,304365
90732,2000,30,6,2000-06-30,306603
90732,2000,31,7,2000-07-31,308782
90732,2000,31,8,2000-08-31,310745
90732,2000,30,9,2000-09-30,313323
90732,2000,31,10,2000-10-31,314597
90732,2000,30,11,2000-11-30,315771
90732,2000,31,12,2000-12-31,316335
90732,2001,31,1,2001-01-31,317007
90732,2001,28,2,2001-02-28,318147
90732,2001,31,3,2001-03-31,320012
90732,2001,30,4,2001-04-30,323017
90732,2001,31,5,2001-05-31,325827
90732,2001,30,6,2001-06-30,328440
90732,2001,31,7,2001-07-31,330706
90732,2001,31,8,2001-08-31,333061
90732,2001,30,9,2001-09-30,335042
90732,2001,31,10,2001-10-31,337399
90732,2001,30,11,2001-11-30,340102
90732,2001,31,12,2001-12-31,343683
90732,2002,31,1,2002-01-31,346608
90732,2002,28,2,2002-02-28,349342
90732,2002,31,3,2002-03-31,353028
90732,2002,30,4,2002-04-30,358272
90732,2002,31,5,2002-05-31,363931
90732,2002,30,6,2002-06-30,369987
90732,2002,31,7,2002-07-31,377294
90732,2002,31,8,2002-08-31,384331
90732,2002,30,9,2002-09-30,390002
90732,2002,31,10,2002-10-31,395038
90732,2002,30,11,2002-11-30,400616
90732,2002,31,12,2002-12-31,406761
90732,2003,31,1,2003-01-31,411308
90732,2003,28,2,2003-02-28,415411
90732,2003,31,3,2003-03-31,420658
90732,2003,30,4,2003-04-30,426448
90732,2003,31,5,2003-05-31,434291
90732,2003,30,6,2003-06-30,439758
90732,2003,31,7,2003-07-31,447958
90732,2003,31,8,2003-08-31,456261
90732,2003,30,9,2003-09-30,466449
90732,2003,31,10,2003-10-31,473094
90732,2003,30,11,2003-11-30,479766
90732,2003,31,12,2003-12-31,486710
90732,2004,31,1,2004-01-31,495106
